Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism Name,Average_lifespan_days,Average_lifespan_days_in_longer_life_cycle,Parthenogenesis,Fission Budding,Highly dormant eggs,Dormant state in other than egg stage,More than one type of life cycles,Eusociality,Eusociality level,Host number
GCA_963082655.1_idStoCalc2.1,Arthropoda (Mandibulata),Insecta,Diptera,Muscidae,Stomoxys,Stomoxys calcitrans,53,0,0,0,0,0,0,0,0,0
GCA_000341915.2_ASM34191v2,Arthropoda (Mandibulata),Insecta,Diptera,Phoridae,Megaselia,Megaselia scalaris,60.28,0,0,0,0,0,0,0,0,0
GCA_040938175.1_ASM4093817v1,Arthropoda (Mandibulata),Insecta,Diptera,Scathophagidae,Scathophaga,Scathophaga stercoraria,59.47,0,0,0,0,0,0,0,0,0
GCA_001014335.1_ASM101433v1,Arthropoda (Mandibulata),Insecta,Diptera,Scatopsidae,Coboldia,Coboldia fuscipes,26.41,0,0,0,0,0,0,0,0,0
GCA_016920775.1_B2019C,Arthropoda (Mandibulata),Insecta,Diptera,Sciaridae,Bradysia,Bradysia odoriphaga,29.81,0,0,0,0,0,0,0,0,0
GCA_023373825.1_ASM2337382v1,Arthropoda (Mandibulata),Insecta,Diptera,Tephritidae,Bactrocera,Bactrocera dorsalis,132.05,0,0,0,0,0,0,0,0,0
GCA_000347755.4_Ccap_2.1,Arthropoda (Mandibulata),Insecta,Diptera,Tephritidae,Ceratitis,Ceratitis capitata,99.3,0,0,0,0,0,0,0,0,0
GCA_949628265.1_ieCloDipt1.1,Arthropoda (Mandibulata),Insecta,Ephemeroptera,Baetidae,Cloeon,Cloeon dipterum,235.6196319,0,0,0,0,0,0,0,0,0
GCA_964058975.1_Mnor_HA_v2,Arthropoda (Mandibulata),Crustacea,Euphausiacea,Euphausiidae,Meganyctiphanes,Meganyctiphanes norvegica,730,0,0,0,0,0,0,0,0,0
GCA_000239455.1_Smar_1.0,Arthropoda (Mandibulata),Chilopoda,Geophilomorpha,Linotaeniidae,Strigamia,Strigamia maritima,2190,0,0,0,0,0,0,0,0,0
GCA_034696005.1_ASM3469600v1,Arthropoda (Mandibulata),Diplopoda,Glomerida,Glomeridae,Glomeris,Glomeris marginata,3650,0,0,0,0,0,0,0,0,0
GCA_003268045.1_YSA_version1,Arthropoda (Mandibulata),Insecta,Hemiptera,Aphididae,Sipha,Sipha flava,43,0,0,0,0,0,0,0,0,0
GCA_028571305.1_ASM2857130v1,Arthropoda (Mandibulata),Insecta,Hemiptera,Cicadidae,Magicicada,Magicicada cassini,6205,0,0,0,0,0,0,0,0,0
GCA_011326945.2_ASM1132694v2,Arthropoda (Mandibulata),Insecta,Hemiptera,Cicadidae,Magicicada,Magicicada septendecim,6205,0,0,0,0,0,0,0,0,0
GCA_034769895.1_Decula_1.0,Arthropoda (Mandibulata),Insecta,Hemiptera,Cicadidae,Magicicada,Magicicada septendecula,6205,0,0,0,0,0,0,0,0,0
GCA_002740975.1_10MxCF,Arthropoda (Mandibulata),Crustacea,Hexanauplia,Calanidae,Calanus,Calanus finmarchicus,446.1111111,0,0,0,0,1,0,0,0,0
GCA_002740985.1_10MxCG,Arthropoda (Mandibulata),Crustacea,Hexanauplia,Calanidae,Calanus,Calanus glacialis,730,0,0,0,0,0,0,0,0,0
GCA_016086655.4_UVic_Lsal_1.3,Arthropoda (Mandibulata),Crustacea,Hexanauplia,Caligidae,Lepeophtheirus,Lepeophtheirus salmonis,212.85,0,0,0,0,0,0,0,0,1
GCA_007210705.1_Tcal_SD_v2.1,Arthropoda (Mandibulata),Crustacea,Hexanauplia,Harpacticidae,Tigriopus,Tigriopus californicus,182.5,0,0,0,0,1,0,0,0,0
GCA_900157175.1_O_NANA_1,Arthropoda (Mandibulata),Crustacea,Hexanauplia,Oithonidae,Oithona,Oithona nana,42,0,0,0,0,0,0,0,0,0
GCA_900659605.1_ASM90065960v1,Arthropoda (Mandibulata),Crustacea,Hexanauplia,Tisbidae,Tisbe,Tisbe holothuriae,14.67,0,0,0,0,0,0,0,0,0
GCA_038277355.1_ASM3827735v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Aphelinidae,Encarsia,Encarsia formosa,54.5,0,0,0,0,0,0,0,0,1
GCA_951804975.1_iyAntPlum1.1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Apidae,Anthophora,Anthophora plumipes,14,0,0,0,0,0,0,0,0,0
GCA_003254395.2_Amel_HAv3.1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,51,591,0,0,0,0,0,1,2,0
GCA_910591885.2_iyBomTerr1.2,Arthropoda (Mandibulata),Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris,42,88,0,0,0,0,0,1,1,0
GCA_036937485.2_jatai_v2,Arthropoda (Mandibulata),Insecta,Hymenoptera,Apidae,Tetragonisca,Tetragonisca angustula,50,1825,0,0,0,0,0,1,2,0
GCA_963969455.1_iyArgPaga1.1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Argidae,Arge,Arge pagana,30.26,0,0,0,0,0,0,0,0,0
GCA_003055095.1_ASM305509v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Bethylidae,Goniozus,Goniozus legneri,110.56,0,0,0,0,0,0,0,0,1
GCA_024137725.2_Cenicafe_Pnas_1.2,Arthropoda (Mandibulata),Insecta,Hymenoptera,Bethylidae,Prorops,Prorops nasuta,71.5,0,0,0,0,0,0,0,0,0
GCA_015776835.1_Ae_genome_v2,Arthropoda (Mandibulata),Insecta,Hymenoptera,Braconidae,Aphidius,Aphidius ervi,18,0,0,0,0,0,0,0,0,1
GCA_040285435.1_ASM4028543v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Chalcididae,Brachymeria,Brachymeria lasus,67.09,0,0,0,0,0,0,0,0,1
GCA_003063815.1_AJDMW,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Aphaenogaster,Aphaenogaster rudis,1139.5,4826,0,0,0,0,0,1,2,0
GCA_000143395.3_Attacep1.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Atta,Atta cephalotes,0,4745,0,0,0,0,0,1,2,0
